mother_pid,wav,child_pid,child_birth_y,child_age,child_gender,child_enroll,child_math,child_enroll2,child_eduy,child_wav,mother_birth_y,mother_age,mother_gender,mother_eth,mother_enroll2,mother_eduy,mother_birth_prov,mother_wav
411299102.0,2014,411299105.0,1999.0,15.0,1.0,1.0,4.0,1.0,8.0,2014.0,1976.0,38.0,0.0,,0.0,8.0,,2014.0
411301103.0,2014,411301104.0,2002.0,12.0,0.0,1.0,1.0,,6.0,2014.0,,,,,,,,
411305103.0,2014,411305104.0,2003.0,11.0,0.0,1.0,1.0,1.0,2.0,2014.0,1974.0,40.0,0.0,,0.0,9.0,,2014.0
411340102.0,2014,411340103.0,2001.0,13.0,0.0,1.0,3.0,1.0,2.0,2014.0,1980.0,34.0,0.0,,0.0,9.0,,2014.0
411348104.0,2014,411348105.0,2004.0,10.0,1.0,1.0,2.0,1.0,3.0,2014.0,1983.0,31.0,0.0,,0.0,9.0,,2014.0
411353104.0,2014,411353105.0,2000.0,14.0,1.0,1.0,4.0,1.0,8.0,2014.0,1980.0,34.0,0.0,,0.0,9.0,,2014.0
411359102.0,2014,411359103.0,1999.0,15.0,1.0,1.0,4.0,1.0,10.0,2014.0,1973.0,41.0,0.0,,0.0,0.0,,2014.0
411360102.0,2014,411360103.0,1999.0,15.0,1.0,1.0,4.0,1.0,9.0,2014.0,1968.0,46.0,0.0,,,9.0,,2014.0
411395104.0,2014,411395106.0,2002.0,12.0,0.0,1.0,3.0,1.0,7.0,2014.0,1980.0,34.0,0.0,,0.0,6.0,,2014.0
411405104.0,2014,411405105.0,1999.0,15.0,1.0,1.0,2.0,1.0,9.0,2014.0,1976.0,38.0,0.0,,0.0,6.0,,2014.0
411417103.0,2014,411417104.0,2004.0,10.0,0.0,1.0,3.0,1.0,6.0,2014.0,1979.0,35.0,0.0,,0.0,0.0,,2014.0
411446104.0,2014,411446105.0,2004.0,10.0,1.0,1.0,2.0,1.0,5.0,2014.0,1972.0,42.0,0.0,,0.0,15.0,,2014.0
411459103.0,2014,411459104.0,2003.0,11.0,1.0,1.0,2.0,1.0,2.0,2014.0,1979.0,35.0,0.0,,0.0,6.0,,2014.0
411465104.0,2014,411465105.0,2000.0,14.0,1.0,1.0,4.0,1.0,9.0,2014.0,,,,,,,,
411468104.0,2014,411468105.0,2000.0,14.0,1.0,1.0,3.0,,7.0,2014.0,1976.0,38.0,0.0,,0.0,0.0,,2014.0
411471104.0,2014,411471105.0,2002.0,12.0,0.0,1.0,1.0,1.0,7.0,2014.0,1976.0,38.0,0.0,,0.0,9.0,,2014.0
411501104.0,2014,411501105.0,2001.0,13.0,0.0,1.0,2.0,1.0,7.0,2014.0,1975.0,39.0,0.0,,0.0,9.0,,2014.0
411521102.0,2014,411521103.0,1999.0,15.0,0.0,1.0,1.0,1.0,8.0,2014.0,1981.0,33.0,0.0,,0.0,6.0,,2014.0
411531531.0,2014,411531103.0,2002.0,12.0,1.0,1.0,3.0,1.0,5.0,2014.0,1979.0,35.0,0.0,1.0,0.0,5.0,,2014.0
411537101.0,2014,411537103.0,1999.0,15.0,0.0,1.0,4.0,1.0,7.0,2014.0,1978.0,36.0,0.0,,0.0,3.0,,2014.0
411547107.0,2014,411547105.0,2003.0,11.0,0.0,1.0,3.0,1.0,4.0,2014.0,1976.0,38.0,0.0,,0.0,9.0,,2014.0
411550101.0,2014,411550103.0,1999.0,15.0,0.0,1.0,1.0,1.0,9.0,2014.0,1971.0,43.0,0.0,,0.0,9.0,,2014.0
411567104.0,2014,411567105.0,2000.0,14.0,1.0,1.0,2.0,1.0,7.0,2014.0,1973.0,41.0,0.0,,0.0,6.0,,2014.0
411569103.0,2014,411569104.0,2002.0,12.0,1.0,1.0,3.0,1.0,6.0,2014.0,1979.0,35.0,0.0,,0.0,6.0,,2014.0
411574102.0,2014,411574103.0,2003.0,11.0,1.0,1.0,2.0,1.0,5.0,2014.0,1973.0,41.0,0.0,,0.0,0.0,,2014.0
411585101.0,2014,411585104.0,2002.0,12.0,0.0,1.0,4.0,1.0,4.0,2014.0,1983.0,31.0,0.0,,0.0,6.0,,2014.0
411586101.0,2014,411586103.0,1999.0,15.0,0.0,1.0,3.0,1.0,10.0,2014.0,1971.0,43.0,0.0,,0.0,0.0,,2014.0
411596104.0,2014,411596105.0,2004.0,10.0,1.0,1.0,2.0,,5.0,2014.0,1985.0,29.0,0.0,,0.0,9.0,,2014.0
411603105.0,2014,411603106.0,2001.0,13.0,0.0,1.0,2.0,1.0,6.0,2014.0,1975.0,39.0,0.0,,0.0,0.0,,2014.0
411605103.0,2014,411605104.0,2000.0,14.0,0.0,1.0,,1.0,7.0,2014.0,1975.0,39.0,0.0,,0.0,,,2014.0
411609101.0,2014,411609103.0,2003.0,11.0,0.0,1.0,2.0,1.0,6.0,2014.0,1979.0,35.0,0.0,,0.0,9.0,,2014.0
411617101.0,2014,411617104.0,2002.0,12.0,1.0,1.0,3.0,1.0,7.0,2014.0,1976.0,38.0,0.0,,0.0,16.0,,2014.0
411623101.0,2014,411623103.0,1999.0,15.0,1.0,1.0,2.0,1.0,10.0,2014.0,1971.0,43.0,0.0,,0.0,15.0,,2014.0
411628102.0,2014,411628103.0,2001.0,13.0,1.0,1.0,3.0,1.0,8.0,2014.0,1977.0,37.0,0.0,,0.0,12.0,,2014.0
411630101.0,2014,411630103.0,2000.0,14.0,1.0,1.0,3.0,1.0,8.0,2014.0,1974.0,40.0,0.0,,0.0,9.0,,2014.0
411638104.0,2014,411638105.0,1999.0,15.0,0.0,1.0,4.0,,10.0,2014.0,1974.0,40.0,0.0,,0.0,9.0,,2014.0
411663103.0,2014,411663104.0,2001.0,13.0,0.0,1.0,3.0,1.0,7.0,2014.0,1962.0,52.0,0.0,,,12.0,,2014.0
411665104.0,2014,411665105.0,2004.0,10.0,0.0,1.0,3.0,1.0,4.0,2014.0,1980.0,34.0,0.0,,0.0,9.0,,2014.0
411666102.0,2014,411666103.0,2003.0,11.0,0.0,1.0,3.0,1.0,4.0,2014.0,1974.0,40.0,0.0,,0.0,7.0,,2014.0
411680102.0,2014,411680103.0,2000.0,14.0,1.0,1.0,3.0,1.0,7.0,2014.0,1968.0,46.0,0.0,,,15.0,,2014.0
411689101.0,2014,411689103.0,2000.0,14.0,0.0,1.0,4.0,1.0,8.0,2014.0,1973.0,41.0,0.0,,0.0,12.0,,2014.0
411692101.0,2014,411692103.0,2001.0,13.0,0.0,1.0,3.0,1.0,7.0,2014.0,1964.0,50.0,0.0,,,9.0,,2014.0
411694101.0,2014,411694103.0,2001.0,13.0,0.0,1.0,4.0,1.0,8.0,2014.0,1969.0,45.0,0.0,,,12.0,,2014.0
411708101.0,2014,411708103.0,2000.0,14.0,0.0,1.0,3.0,1.0,8.0,2014.0,1964.0,50.0,0.0,,,15.0,,2014.0
411712103.0,2014,411712104.0,2003.0,11.0,1.0,1.0,1.0,1.0,5.0,2014.0,1980.0,34.0,0.0,,0.0,15.0,,2014.0
